Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"58317","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","418","90.65%"
"58319","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","765","89.46%"
"58324","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","677","91.18%"
"58325","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","347","82.18%"
"58327","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","257","88.77%"
"58330","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","644","85.67%"
"58332","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","706","88.72%"
"58334","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"58335","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"58336","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"58350","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","899","92.19%"
"58354","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","940","92.08%"
"58355","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","887","89.35%"
"58356","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","5","116.67%"
"58357","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","558","86.92%"
"58371","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1012","89.18%"
"58372","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","379","90.88%"
"58373","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","932","88.86%"
"58374","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","834","89.88%"
"58376","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","698","89.49%"
"58378","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","451","90.07%"
"59002","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59006","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","195","85.56%"
"59007","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","23","75.34%"
"59009","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","574","83.80%"
"59015","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","447","86.36%"
"59016","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","780","86.21%"
"59018","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","733","90.42%"
"59019","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","13","47.57%"
"59020","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","530","84.42%"
"59021","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","607","82.48%"
"59022","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","651","85.54%"
"59026","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","690","87.39%"
"59027","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","543","86.84%"
"59033","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","596","83.88%"
"59034","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","401","90.39%"
"59036","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","529","85.76%"
"59037","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","194","89.41%"
"59038","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","612","89.41%"
"59039","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","497","80.42%"
"59041","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","627","89.93%"
"59042","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","219","84.50%"
"59043","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1054","90.74%"
"59044","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","614","87.95%"
"59045","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","698","87.10%"
"59047","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","562","88.98%"
"59054","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","363","89.29%"
"59057","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","178","73.46%"
"59058","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","229","92.64%"
"59062","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","456","83.86%"
"59072","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","856","87.23%"
"59074","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","315","78.61%"
"59075","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","175","84.94%"
"59079","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","519","82.68%"
"59081","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","394","87.89%"
"59082","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","739","89.59%"
"59084","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59088","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","693","86.64%"
"59090","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","668","84.48%"
"59092","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","626","85.08%"
"59097","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","691","85.06%"
"59099","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","285","83.54%"
"59100","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","514","85.60%"
"59101","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","410","81.33%"
"59103","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","403","79.32%"
"59106","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","855","89.55%"
"59108","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","147","82.78%"
"59111","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","414","87.32%"
"59113","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","30","60.96%"
"59118","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","952","86.22%"
"59124","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","658","86.56%"
"59127","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","822","86.36%"
"59129","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1003","88.01%"
"59130","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","161","82.02%"
"59131","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","773","82.15%"
"59132","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","817","86.32%"
"59133","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","62","84.50%"
"59134","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59136","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","774","89.03%"
"59137","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","313","89.78%"
"59138","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59141","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","655","87.11%"
"59144","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","868","85.67%"
"59146","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","633","84.29%"
"59148","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","200","84.53%"
"59149","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1024","82.76%"
"59150","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","2","75.00%"
"59151","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1032","84.77%"
"59152","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","293","81.90%"
"59153","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","810","81.51%"
"59158","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","5","57.06%"
"59162","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59163","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","307","83.55%"
"59164","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","301","86.73%"
"59165","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59168","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","719","85.56%"
"59169","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1235","84.74%"
"59170","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1","66.67%"
"59171","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","100.00%"
"59172","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","347","86.04%"
"59173","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","81","87.84%"
"59174","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1092","85.08%"
"59175","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","486","84.38%"
"59176","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","614","86.53%"
"59177","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59178","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","41","77.36%"
"59179","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59201","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59202","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59204","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59205","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","90","92.74%"
"59206","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","137","87.17%"
"59207","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","13","74.19%"
"59208","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","431","82.96%"
"59209","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59210","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59211","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","505","86.28%"
"59212","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59214","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","468","84.34%"
"59215","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59216","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"59217","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"62081","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","63","71.15%"
"62083","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63001","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","634","88.73%"
"63002","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","417","81.49%"
"63005","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","259","81.79%"
"63009","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","889","84.79%"
"63010","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","37","84.21%"
"63011","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","782","89.50%"
"63014","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","676","85.53%"
"63018","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","53","89.32%"
"63019","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","687","85.96%"
"63023","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","22","92.11%"
"63024","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","830","88.60%"
"63026","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","413","89.52%"
"63027","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","744","87.33%"
"63028","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1029","88.78%"
"63029","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","340","82.56%"
"63031","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1024","91.01%"
"63032","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","341","76.03%"
"63034","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","290","72.07%"
"63036","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","826","89.56%"
"63037","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63038","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","599","83.17%"
"63039","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","443","77.91%"
"63041","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","609","88.81%"
"63043","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","603","80.48%"
"63044","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63046","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","554","83.33%"
"63049","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","91","81.37%"
"63051","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","118","77.39%"
"63052","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","5","91.30%"
"63053","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","160","75.26%"
"63055","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","481","85.38%"
"63056","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","44","71.24%"
"63061","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","371","93.01%"
"63066","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","122","89.10%"
"63068","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","616","87.25%"
"63069","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","325","84.62%"
"63071","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","882","87.11%"
"63077","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","336","89.53%"
"63079","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","191","92.63%"
"63080","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","252","90.29%"
"63083","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63087","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63088","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","336","92.13%"
"63097","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","177","90.74%"
"63098","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63099","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63101","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63102","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63103","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63104","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63120","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","27","70.92%"
"63121","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63122","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","72","83.08%"
"63123","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","572","90.30%"
"63124","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63150","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","798","88.17%"
"63151","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63152","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63153","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63154","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63155","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63170","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","133","77.35%"
"63171","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","46","94.44%"
"63172","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","21","80.56%"
"63173","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","35","85.39%"
"63174","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63175","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63201","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63202","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","10","84.21%"
"63203","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63204","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","4","100.00%"
"63205","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","2","75.00%"
"63206","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","14","82.35%"
"63207","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","4","100.00%"
"63208","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","21","89.47%"
"63210","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","47","90.68%"
"63211","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","5","100.00%"
"63212","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","2","100.00%"
"63213","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","3","100.00%"
"63214","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","23","89.74%"
"63215","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","201","90.00%"
"63216","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","1014","90.14%"
"63217","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63219","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","36","89.01%"
"63220","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","15","61.29%"
"63221","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","126","75.33%"
"63222","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","100.00%"
"63223","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","9","75.00%"
"63224","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","2","66.67%"
"63225","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63226","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","66.67%"
"63227","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","13","95.00%"
"63228","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","100.00%"
"63229","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63231","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","522","94.55%"
"63235","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","3","100.00%"
"63236","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","174","87.00%"
"63237","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63238","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","0","0.00%"
"63251","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","42","84.42%"
"63252","PRESIDENT AND VICE PRESIDENT","*DONALD J. TRUMP/MICHAEL R. PENCE (REP)","56","89.44%"
